id,book_title,slug,author,cover_description,body,image_name,created,updated
22,Blink: The Power of Thinking Without Thinking,BlinkThePowerofThinkingWithoutThinking,Gladwell; Malcolm,Brief description entered here,long descp,Blink.jpg,2020-07-20 22:35:59.945867+00:00,2020-07-20
23,Boomerang: Travels in the New Third World,BoomerangTravelsintheNewThirdWorld,Lewis; Michael,Brief description entered here,long descp,Boomerang.jpg,2020-07-20 22:35:59.950853+00:00,2020-07-20
24,Born a Crime: Stories from a South African Childhood,BornaCrimeStoriesfromaSouthAfricanChildhood,Noah; Trevor,Brief description entered here,long descp,BornACrime.jpg,2020-07-20 22:35:59.955839+00:00,2020-07-20
25,Born to Run: A Hidden Tribe; Superathletes; and the Greatest Race the World Has Never Seen,BorntoRunAHiddenTribeSuperathletesandtheGreatestRacetheWorldHasNeverSeen,McDougall; Christopher,Brief description entered here,long descp,BornToRun.jpg,2020-07-20 22:35:59.961824+00:00,2020-07-20
26,Capital Ideas Evolving,CapitalIdeasEvolving,Bernstein; Peter L.,Brief description entered here,long descp,CapitalIdeasEvolving.jpg,2020-07-20 22:35:59.966810+00:00,2020-07-20
27,Capital in the Twenty-First Century,CapitalintheTwenty-FirstCentury,"Piketty, Thomas",Brief description entered here,long descp,CapitalIntheTwentyFirstCentury.jpg,2020-07-20 22:35:59.972797+00:00,2020-07-20
28,Chaos: Making a New Science,ChaosMakingaNewScience,Gleick; James ,Brief description entered here,long descp,ChaosMakingANewScience.jpg,2020-07-20 22:35:59.978779+00:00,2020-07-20
29,Common Stocks and Uncommon Profits and Other Writings,CommonStocksandUncommonProfitsandOtherWritings,Fisher; Philip A.,Brief description entered here,long descp,CommonStocksAndUncommonProfits.jpg,2020-07-20 22:35:59.984764+00:00,2020-07-20
30,Competitive Advantage: Creating and Sustaining Superior Performance,CompetitiveAdvantageCreatingandSustainingSuperiorPerformance,Porter; Michael E.,Brief description entered here,long descp,CompetitiveAdvantage.jpg,2020-07-20 22:35:59.989749+00:00,2020-07-20
31,Competitive Strategy: Techniques for Analyzing Industries and Competitors,CompetitiveStrategyTechniquesforAnalyzingIndustriesandCompetitors,"Porter, Michael E.",Brief description entered here,long descp,CompetitiveStrategy.jpg,2020-07-20 22:35:59.994736+00:00,2020-07-20
32,Confessions of a Street Addict,ConfessionsofaStreetAddict,Cramer; James J.,Brief description entered here,long descp,ConfessionsOfAStreetAddict.jpg,2020-07-20 22:36:00.000720+00:00,2020-07-20
33,Cosmos,Cosmos,Sagan; Carl,Brief description entered here,long descp,Cosmos.jpg,2020-07-20 22:36:00.006705+00:00,2020-07-20
34,Crashed: How a Decade of Financial Crises Changed the World,CrashedHowaDecadeofFinancialCrisesChangedtheWorld,Tooze; Adam,Brief description entered here,long descp,Crashed.jpg,2020-07-20 22:36:00.011691+00:00,2020-07-20
35,Dealing with China: An Insider Unmasks the New Economic Superpower,DealingwithChinaAnInsiderUnmaskstheNewEconomicSuperpower,Paulson; Henry M. Jr.,Brief description entered here,long descp,DealingWithChina.jpg,2020-07-20 22:36:00.017675+00:00,2020-07-20
36,Death by Black Hole: And Other Cosmic Quandaries,DeathbyBlackHoleAndOtherCosmicQuandaries,Tyson; Neil deGrasse ,Brief description entered here,long descp,DeathByBlackHole.jpg,2020-07-20 22:36:00.022661+00:00,2020-07-20
37,Dreams from My Father: A Story of Race and Inheritance,DreamsfromMyFatherAStoryofRaceandInheritance,Obama; Barack,Brief description entered here,long descp,DreamsFromMyFather.jpg,2020-07-20 22:36:00.027648+00:00,2020-07-20
38,Einstein: His Life and Universe,EinsteinHisLifeandUniverse,Isaacson; Walter ,Brief description entered here,long descp,Einstein.jpg,2020-07-20 22:36:00.032635+00:00,2020-07-20
39,Elon Musk: Tesla; SpaceX; and the Quest for a Fantastic Future,ElonMuskTeslaSpaceXandtheQuestforaFantasticFuture,Vance; Ashlee ,Brief description entered here,long descp,ElonMusk.jpg,2020-07-20 22:36:00.037623+00:00,2020-07-20
40,Enlightenment Now: The Case for Reason; Science; Humanism; and Progress,EnlightenmentNowTheCaseforReasonScienceHumanismandProgress,Pinker; Steven ,Brief description entered here,long descp,EnlightenmentNow.jpg,2020-07-20 22:36:00.042608+00:00,2020-07-20
41,Flash Boys: A Wall Street Revolt,FlashBoysAWallStreetRevolt,Lewis; Michael,Brief description entered here,long descp,FlashBoys.jpg,2020-07-20 22:36:00.047596+00:00,2020-07-20
42,For the Love of Physics: From the End of the Rainbow to the Edge of Time - A Journey Through the Wonders of Physics,FortheLoveofPhysicsFromtheEndoftheRainbowtotheEdgeofTime-AJourneyThroughtheWondersofPhysics,Lewin; Walter,Brief description entered here,long descp,ForTheLoveOfPhysics.jpg,2020-07-20 22:36:00.051584+00:00,2020-07-20
43,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,FreakonomicsARogueEconomistExplorestheHiddenSideofEverything,Levitt; Steven D.,Brief description entered here,long descp,Freakonomics.jpg,2020-07-20 22:36:00.056571+00:00,2020-07-20
44,The Gene: An Intimate History,TheGeneAnIntimateHistory,Mukherjee; Siddhartha,Brief description entered here,long descp,GeneAnIntimateHistory.jpg,2020-07-20 22:36:00.062555+00:00,2020-07-20
45,Guns; Germs; and Steel: The Fates of Human Societies,GunsGermsandSteelTheFatesofHumanSocieties,Diamond; Jared,Brief description entered here,long descp,GunsGermsSteel.jpg,2020-07-20 22:36:00.068538+00:00,2020-07-20
46,A Demon of Our Own Design: Markets; Hedge Funds; and the Perils of Financial Innovation,ADemonofOurOwnDesignMarketsHedgeFundsandthePerilsofFinancialInnovation,Bookstaber; Richard,Brief description entered here,long descp,HedgeFundInvesting.jpg,2020-07-20 22:36:00.073526+00:00,2020-07-20
47,Hedging Market Exposures: Identifying and Managing Market Risks,HedgingMarketExposuresIdentifyingandManagingMarketRisks,Bychuk; Oleg V.,Brief description entered here,long descp,HedgingMarketExposures.jpg,2020-07-20 22:36:00.078513+00:00,2020-07-20
48,The House of Hades (The Heroes of Olympus; #4),TheHouseofHades (TheHeroesofOlympus4),Riordan; Rick ,Brief description entered here,long descp,HouseOfMorgan.jpg,2020-07-20 22:36:00.083498+00:00,2020-07-20
49,Intuition: Knowing Beyond Logic,IntuitionKnowingBeyondLogic,Osho,Brief description entered here,long descp,IntuitionKnowingBeyondLogic.jpg,2020-07-20 22:36:00.089483+00:00,2020-07-20
50,Investing Psychology ,InvestingPsychology,Richards; Tim,Brief description entered here,long descp,InvestingPsychology.jpg,2020-07-20 22:36:00.094470+00:00,2020-07-20
51,Irrational Exuberance,IrrationalExuberance,Shiller; Robert J.,Brief description entered here,long descp,IrrationalExuberance.jpg,2020-07-20 22:36:00.099456+00:00,2020-07-20
52,Leonardo da Vinci,LeonardodaVinci,Isaacson; Walter ,Beautiful pictures and nice paper in this book.,long descp,LeonardoDaVinci.jpg,2020-07-20 22:36:00.104443+00:00,2020-07-20
53,Liar's Poker,Liar'sPoker,Lewis; Michael,Brief description entered here,long descp,Liar'sPoker.jpg,2020-07-20 22:36:00.109431+00:00,2020-07-20
54,Lords of Finance: The Bankers Who Broke the World,LordsofFinanceTheBankersWhoBroketheWorld,Ahamed; Liaquat,Brief description entered here,long descp,LordsOfFinance.jpg,2020-07-20 22:36:00.114415+00:00,2020-07-20
55,Lying,Lying,Harris; Sam,Brief description entered here,long descp,Lying.jpg,2020-07-20 22:36:00.118406+00:00,2020-07-20
56,The Autobiography of Malcolm X,TheAutobiographyofMalcolmX,X; Malcolm,Brief description entered here,long descp,MalcomX.jpg,2020-07-20 22:36:00.125389+00:00,2020-07-20
57,The Man Who Knew: The Life and Times of Alan Greenspan,TheManWhoKnewTheLifeandTimesofAlanGreenspan,Mallaby; Sebastian,Brief description entered here,long descp,ManWhoKnew.jpg,2020-07-20 22:36:00.131370+00:00,2020-07-20
58,Mastering the Market Cycle: Getting the Odds on Your Side,MasteringtheMarketCycleGettingtheOddsonYourSide,Marks; Howard,Brief description entered here,long descp,MasteringTheMarketCycle.jpg,2020-07-20 22:36:00.142341+00:00,2020-07-20
59,Money Changes Everything: How Finance Made Civilization Possible,MoneyChangesEverythingHowFinanceMadeCivilizationPossible,Goetzmann; William N.,Brief description entered here,long descp,MoneyChangesEverything.jpg,2020-07-20 22:36:00.147328+00:00,2020-07-20
60,Moonwalking with Einstein: The Art and Science of Remembering Everything,MoonwalkingwithEinsteinTheArtandScienceofRememberingEverything,Foer; Joshua ,Brief description entered here,long descp,MoonwalkingWithEinstein.jpg,2020-07-20 22:36:00.152315+00:00,2020-07-20
61,More Than You Know: Finding Financial Wisdom in Unconventional Places,MoreThanYouKnowFindingFinancialWisdominUnconventionalPlaces,Mauboussin; Michael J.,Michael is actually the best financial thinker.,long descp,MoreThanYouKnow.jpg,2020-07-20 22:36:00.157303+00:00,2020-07-20
62,Naked Economics: Undressing the Dismal Science,NakedEconomicsUndressingtheDismalScience,Wheelan; Charles,Brief description entered here,long descp,NakedEconomics.jpg,2020-07-20 22:36:00.162288+00:00,2020-07-20
63,Naked Economics: Undressing the Dismal Science,NakedEconomicsUndressingtheDismalScience,Wheelan; Charles,Brief description entered here,long descp,NakedMoney.jpg,2020-07-20 22:36:00.167276+00:00,2020-07-20
64,Napoleon: A Life,NapoleonALife,Roberts; Andrew,Brief description entered here,long descp,Napoleon.jpg,2020-07-20 22:36:00.172262+00:00,2020-07-20
65,A Slave No More: Two Men Who Escaped to Freedom; Including Their Own Narratives of Emancipation,ASlaveNoMoreTwoMenWhoEscapedtoFreedomIncludingTheirOwnNarrativesofEmancipation,Blight; David W.,Brief description entered here,long descp,NarrativeAndNumbers.jpg,2020-07-20 22:36:00.177249+00:00,2020-07-20
66,Oil 101,Oil101,Downey; Morgan Patrick,Brief description entered here,long descp,Oil101.jpg,2020-07-20 22:36:00.181237+00:00,2020-07-20
67,Once a Runner,OnceaRunner,Parker Jr.; John L.,Brief description entered here,long descp,OnceARunner.jpg,2020-07-20 22:36:00.186225+00:00,2020-07-20
68,Outliers: The Story of Success,OutliersTheStoryofSuccess,Gladwell; Malcolm,Brief description entered here,long descp,Outliers.jpg,2020-07-20 22:36:00.191212+00:00,2020-07-20
69,Idea Man,IdeaMan,Allen; Paul,Best part are the stories of Paul and Bill when they were young hustlers.,long descp,PaulAllen.jpg,2020-07-20 22:36:00.195200+00:00,2020-07-20
70,Pioneering Portfolio Management: An Unconventional Approach to Institutional Investment; Fully Revised and Updated,PioneeringPortfolioManagementAnUnconventionalApproachtoInstitutionalInvestmentFullyRevisedandUpdated,Swensen; David F.,Brief description entered here,long descp,PioneeringPortfolioManagement.jpg,2020-07-20 22:36:00.200187+00:00,2020-07-20
71,The Portable Financial Analyst: What Practitioners Need to Know,ThePortableFinancialAnalystWhatPractitionersNeedtoKnow,Kritzman; Mark P.,Brief description entered here,long descp,PortableFinancialAnalyst.jpg,2020-07-20 22:36:00.204175+00:00,2020-07-20
72,Predicting the Markets: A Professional Autobiography,PredictingtheMarketsAProfessionalAutobiography,Yardeni; Edward,Brief description entered here,long descp,PredictingTheMarkets.jpg,2020-07-20 22:36:00.209164+00:00,2020-07-20
73,Principles: Life and Work,PrinciplesLifeandWork,Dalio; Ray ,Brief description entered here,long descp,Principles.jpg,2020-07-20 22:36:00.213151+00:00,2020-07-20
74,The Psychopath Whisperer: The Science of Those Without Conscience,ThePsychopathWhispererTheScienceofThoseWithoutConscience,Kiehl; Kent,Brief description entered here,long descp,PyschopathWhisperer.jpg,2020-07-20 22:36:00.218139+00:00,2020-07-20
75,Reagan: The Life,ReaganTheLife,Brands; H.W.,Brief description entered here,long descp,Reagan.jpg,2020-07-20 22:36:00.223125+00:00,2020-07-20
76,"""Surely You're Joking; Mr. Feynman!"": Adventures of a Curious Character","""SurelyYou'reJokingMr.Feynman!""AdventuresofaCuriousCharacter",Feynman; Richard,Only book that's ever truly prevented me from sleeping,long descp,RichardFeynman.jpg,2020-07-20 22:36:00.227115+00:00,2020-07-20
77,A Knight of the Seven Kingdoms (The Tales of Dunk and Egg; #1-3),AKnightoftheSevenKingdoms (TheTalesofDunkandEgg1-3),Martin; George R.R.,Brief description entered here,long descp,Seveneves.jpg,2020-07-20 22:36:00.232101+00:00,2020-07-20
78,Shaky Ground: The Strange Saga of the U.S. Mortgage Giants,ShakyGroundTheStrangeSagaoftheU.S.MortgageGiants,McLean; Bethany,Brief description entered here,long descp,ShakyGround.jpg,2020-07-20 22:36:00.237089+00:00,2020-07-20
79,The Greatest Adventures of Sherlock Homes,TheGreatestAdventuresofSherlockHomes,Doyle; Arthur Conan,Brief description entered here,long descp,SherlockHolmes.jpg,2020-07-20 22:36:00.242076+00:00,2020-07-20
80,The Snowball: Warren Buffett and the Business of Life,TheSnowballWarrenBuffettandtheBusinessofLife,Schroeder; Alice,Brief description entered here,long descp,Snowball.jpg,2020-07-20 22:36:00.246064+00:00,2020-07-20
81,The Sports Gene: Inside the Science of Extraordinary Athletic Performance,TheSportsGeneInsidetheScienceofExtraordinaryAthleticPerformance,Epstein; David ,Brief description entered here,long descp,SportsGene.jpg,2020-07-20 22:36:00.251051+00:00,2020-07-20
82,Steve Jobs,SteveJobs,Isaacson; Walter ,Brief description entered here,long descp,SteveJobs.jpg,2020-07-20 22:36:00.255040+00:00,2020-07-20
83,Competitive Strategy: Techniques for Analyzing Industries and Competitors,CompetitiveStrategyTechniquesforAnalyzingIndustriesandCompetitors,Porter; Michael E.,Brief description entered here,long descp,StrategicRiskTaking.jpg,2020-07-20 22:36:00.260027+00:00,2020-07-20
84,Competitive Strategy: Techniques for Analyzing Industries and Competitors,CompetitiveStrategyTechniquesforAnalyzingIndustriesandCompetitors,Porter; Michael E.,Brief description entered here,long descp,StrategicValueInvesting.jpg,2020-07-20 22:36:00.264017+00:00,2020-07-20
85,Stress Test: Reflections on Financial Crises,StressTestReflectionsonFinancialCrises,Geithner; Timothy F.,Tim is a hero and and thinks in an inspiringly pragmatic manner.,long descp,StressTest.jpg,2020-07-20 22:36:00.268005+00:00,2020-07-20
86,Stuff Matters: Exploring the Marvelous Materials That Shape Our Man-Made World,StuffMattersExploringtheMarvelousMaterialsThatShapeOurMan-MadeWorld,Miodownik; Mark,Brief description entered here,long descp,StuffMatters.jpg,2020-07-20 22:36:00.272993+00:00,2020-07-20
87,Subliminal: How Your Unconscious Mind Rules Your Behavior,SubliminalHowYourUnconsciousMindRulesYourBehavior,Mlodinow; Leonard,Brief description entered here,long descp,Subliminal.jpg,2020-07-20 22:36:00.277980+00:00,2020-07-20
88,Born to Run: A Hidden Tribe; Superathletes; and the Greatest Race the World Has Never Seen,BorntoRunAHiddenTribeSuperathletesandtheGreatestRacetheWorldHasNeverSeen,McDougall; Christopher,Brief description entered here,long descp,SuperFreakonomics.jpg,2020-07-20 22:36:00.283963+00:00,2020-07-20
89,The Checklist Manifesto: How to Get Things Right,TheChecklistManifestoHowtoGetThingsRight,Gawande; Atul,Brief description entered here,long descp,TheCheckListManifesto.jpg,2020-07-20 22:36:00.287953+00:00,2020-07-20
90,The Courage to Act: A Memoir of a Crisis and Its Aftermath,TheCouragetoActAMemoirofaCrisisandItsAftermath,Bernanke; Ben S.,It's Uncle Ben!,long descp,TheCourageToAct.jpg,2020-07-20 22:36:00.292938+00:00,2020-07-20
91,The Four: The Hidden DNA of Amazon; Apple; Facebook; and Google,TheFourTheHiddenDNAofAmazonAppleFacebookandGoogle,Galloway; Scott,Brief description entered here,long descp,TheFour.jpg,2020-07-20 22:36:00.296929+00:00,2020-07-20
92,The Hero With a Thousand Faces,TheHeroWithaThousandFaces,Campbell; Joseph,Brief description entered here,long descp,TheHeroWithAThousandFaces.jpg,2020-07-20 22:36:00.300917+00:00,2020-07-20
93,The Magic of Reality: How We Know What's Really True,TheMagicofRealityHowWeKnowWhat'sReallyTrue,Dawkins; Richard ,Brief description entered here,long descp,TheMagicOfReality.jpg,2020-07-20 22:36:00.307898+00:00,2020-07-20
94,The Misbehavior of Markets: A Fractal View of Financial Turbulence,TheMisbehaviorofMarketsAFractalViewofFinancialTurbulence,Mandelbrot; Benoît B.,Brief description entered here,long descp,TheMisbehaviorOfMarkets.jpg,2020-07-20 22:36:00.311889+00:00,2020-07-20
95,The Tiger: A True Story of Vengeance and Survival,TheTigerATrueStoryofVengeanceandSurvival,Vaillant; John,Brief description entered here,long descp,TheTiger.jpg,2020-07-20 22:36:00.316874+00:00,2020-07-20
96,The Universe in Your Hand: A Journey Through Space; Time; and Beyond,TheUniverseinYourHandAJourneyThroughSpaceTimeandBeyond,Galfard; Christophe,Brief description entered here,long descp,TheUniverseInYourHand.jpg,2020-07-20 22:36:00.321862+00:00,2020-07-20
97,The Worldly Philosophers,TheWorldlyPhilosophers,Heilbroner; Robert L.,Brief description entered here,long descp,TheWorldlyPhilosophers.jpg,2020-07-20 22:36:00.326847+00:00,2020-07-20
98,Blink: The Power of Thinking Without Thinking,BlinkThePowerofThinkingWithoutThinking,Gladwell; Malcolm,Brief description entered here,long descp,ThinkTwice.jpg,2020-07-20 22:36:00.331835+00:00,2020-07-20
99,This Time Is Different: Eight Centuries of Financial Folly,ThisTimeIsDifferentEightCenturiesofFinancialFolly,Reinhart; Carmen M.,Brief description entered here,long descp,ThisTimeIsDifferent.jpg,2020-07-20 22:36:00.336822+00:00,2020-07-20
100,Thomas Jefferson and the Tripoli Pirates: The Forgotten War that Changed American History,ThomasJeffersonandtheTripoliPiratesTheForgottenWarthatChangedAmericanHistory,Kilmeade; Brian,Brief description entered here,long descp,ThomasJeffersonAndTheTripoliPirates.jpg,2020-07-20 22:36:00.341809+00:00,2020-07-20
101,The Tipping Point: How Little Things Can Make a Big Difference,TheTippingPointHowLittleThingsCanMakeaBigDifference,Gladwell; Malcolm,Brief description entered here,long descp,TippingPoint.jpg,2020-07-20 22:36:00.346794+00:00,2020-07-20
102,Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System from Crisis — and Themselves,TooBigtoFailTheInsideStoryofHowWallStreetandWashingtonFoughttoSavetheFinancialSystemfromCrisis—andThemselves,Sorkin; Andrew Ross,Brief description entered here,long descp,TooBigToFail.jpg,2020-07-20 22:36:00.351781+00:00,2020-07-20
103,Unbroken: A World War II Story of Survival; Resilience and Redemption,UnbrokenAWorldWarIIStoryofSurvivalResilienceandRedemption,Hillenbrand; Laura,Brief description entered here,long descp,Unbroken.jpg,2020-07-20 22:36:00.356768+00:00,2020-07-20
104,In an Uncertain World: Tough Choices from Wall Street to Washington,InanUncertainWorldToughChoicesfromWallStreettoWashington,Rubin; Robert E.,Bob is so cool. Piercing analytical mind.,long descp,UncertainWorld.jpg,2020-07-20 22:36:00.361756+00:00,2020-07-20
105,The Undoing Project: A Friendship That Changed Our Minds,TheUndoingProjectAFriendshipThatChangedOurMinds,Lewis; Michael,Brief description entered here,long descp,UndoingProject.jpg,2020-07-20 22:36:00.366742+00:00,2020-07-20
106,When Genius Failed: The Rise and Fall of Long-Term Capital Management,WhenGeniusFailedTheRiseandFallofLong-TermCapitalManagement,Lowenstein; Roger,Brief description entered here,long descp,WhenGeniusFailed.jpg,2020-07-20 22:36:00.371728+00:00,2020-07-20
107,Winning the Loser's Game: Timeless Strategies for Successful Investing,WinningtheLoser'sGameTimelessStrategiesforSuccessfulInvesting,Ellis; Charles D.,Brief description entered here,long descp,WinningTheLoser'sGame.jpg,2020-07-20 22:36:00.376715+00:00,2020-07-20
